0.004404731 127.0.0.1:6633 127.0.0.1:60315 32 0x6e59a9ef 0x6e59a99f 10 2147483647 44032 1 45056
0.043150436 10.0.0.1:56451 10.0.0.2:5001 32 0xed023a77 0xed02078f 11 2147483647 29184 1 29696
0.043170777 10.0.0.1:56451 10.0.0.2:5001 32 0xed025117 0xed020d37 12 2147483647 32256 1 29696
0.043223645 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 37888
0.044232360 10.0.0.1:56451 10.0.0.2:5001 32 0xed025117 0xed0212df 13 2147483647 34816 1 29696
0.044461999 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 40960
0.045402017 10.0.0.1:56451 10.0.0.2:5001 32 0xed025117 0xed021887 14 2147483647 37888 1 29696
0.045613620 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 43520
0.046675880 10.0.0.1:56451 10.0.0.2:5001 32 0xed027307 0xed021e2f 15 2147483647 40960 1 29696
0.046885345 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 46592
0.047812494 10.0.0.1:56451 10.0.0.2:5001 32 0xed027307 0xed0223d7 16 2147483647 43520 1 29696
0.048036254 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 49664
0.049113087 10.0.0.1:56451 10.0.0.2:5001 32 0xed027307 0xed02297f 17 2147483647 46592 1 29696
0.049235817 10.0.0.2:5001 10.0.0.1:56451 1480 0x80340eb 0x80340eb 10 2147483647 29696 2 52224
0.050360366 10.0.0.1:56451 10.0.0.2:5001 32 0xed0294f7 0xed022f27 18 2147483647 49664 1 29696
0.050522716 10.0.0.2:5001 10.0.0.1:56451 5824 0x80340eb 0x80340eb 10 2147483647 29696 2 55296
0.051486671 10.0.0.1:56451 10.0.0.2:5001 32 0xed0294f7 0xed0234cf 19 2147483647 52224 1 29696
0.052752996 10.0.0.1:56451 10.0.0.2:5001 32 0xed02ab97 0xed023a77 20 2147483647 55296 2 29696
0.055399475 10.0.0.2:5001 10.0.0.1:56451 8720 0x80340eb 0x80340eb 10 2147483647 29696 2 67072
0.057638337 10.0.0.1:56451 10.0.0.2:5001 32 0xed02d8d7 0xed025117 24 2147483647 67072 2 29696
0.062700038 10.0.0.2:5001 10.0.0.1:56451 8720 0x80340eb 0x80340eb 10 2147483647 29696 2 84480
0.064927850 10.0.0.1:56451 10.0.0.2:5001 32 0xed031cb7 0xed027307 30 2147483647 84480 2 29696
0.069982485 10.0.0.2:5001 10.0.0.1:56451 5824 0x80340eb 0x80340eb 10 2147483647 29696 2 101376
0.072248480 10.0.0.1:56451 10.0.0.2:5001 32 0xed036097 0xed0294f7 36 2147483647 101376 2 29696
0.074823506 10.0.0.2:5001 10.0.0.1:56451 11616 0x80340eb 0x80340eb 10 2147483647 29696 2 113152
0.077085568 10.0.0.1:56451 10.0.0.2:5001 32 0xed038287 0xed02ab97 40 2147483647 113152 3 29696
0.084444291 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 136192
0.086678891 10.0.0.1:56451 10.0.0.2:5001 32 0xed03e857 0xed02d8d7 48 2147483647 136192 3 29696
0.086910146 10.0.0.2:5001 10.0.0.1:56451 14512 0x80340eb 0x80340eb 10 2147483647 29696 2 142336
0.089164113 10.0.0.1:56451 10.0.0.2:5001 32 0xed03f94f 0xed02e427 50 2147483647 142336 3 29696
0.099053592 10.0.0.2:5001 10.0.0.1:56451 14512 0x80340eb 0x80340eb 10 2147483647 29696 2 170496
0.101265603 10.0.0.1:56451 10.0.0.2:5001 32 0xed047017 0xed031cb7 60 2147483647 170496 4 29696
